"","sum","sd","subj","upper","lower"
"X174",-0.432150377309767,0.0107044645278573,174,-0.42144591278191,-0.442854841837625
"X175",-0.702765460796547,0.00357807172886539,175,-0.699187389067682,-0.706343532525412
"X176",-0.659532133903527,0.00665211558093566,176,-0.652880018322591,-0.666184249484463
"X177",-0.8667151974763,0.0128230251777704,177,-0.85389217229853,-0.879538222654071
"X178",-0.789402748989624,0.00741308325499939,178,-0.781989665734625,-0.796815832244624
"X179",-0.76465784704397,0.0111156294084186,179,-0.753542217635552,-0.775773476452389
"X180",-0.668900020972648,0.00323244844308144,180,-0.665667572529567,-0.672132469415729
"X181",-0.714150438523509,0.00214289809639302,181,-0.712007540427116,-0.716293336619902
"X182",-0.430761185464445,0.00766117503088305,182,-0.423100010433561,-0.438422360495328
"X183",-0.411584722219215,0.00945531544023258,183,-0.402129406778983,-0.421040037659448
"X184",-0.683261778999799,0.00239258731363498,184,-0.680869191686164,-0.685654366313434
"X185",-0.730451678120685,0.00326046087164244,185,-0.727191217249043,-0.733712138992328
"X186",-0.690467205300147,0.00219764308756674,186,-0.688269562212581,-0.692664848387714
"X187",-0.548581000837234,0.00905604304956013,187,-0.539524957787674,-0.557637043886794
"X188",-0.495944051141616,0.00369373496900781,188,-0.492250316172608,-0.499637786110624
"X189",-0.401855294452708,0.00890677457773312,189,-0.392948519874975,-0.410762069030441
"X190",-0.694888515119412,0.00344572529046182,190,-0.69144278982895,-0.698334240409874
"X191",-0.685115397092687,0.00169612424713718,191,-0.68341927284555,-0.686811521339824
"X192",-0.361038778982909,0.0079742534956511,192,-0.353064525487258,-0.36901303247856
"X193",-0.696918453597839,0.00114603845740462,193,-0.695772415140435,-0.698064492055244
"X194",-0.451567780584499,0.00661239792615905,194,-0.44495538265834,-0.458180178510658
"X195",-0.693790539490193,0.00184727647491306,195,-0.69194326301528,-0.695637815965106
"X196",-0.737522899303669,0.00210457399324633,196,-0.735418325310423,-0.739627473296915
"X197",-0.73187490658882,0.00240129887999848,197,-0.729473607708822,-0.734276205468819
"X198",-0.541173865417532,0.00866996943550296,198,-0.532503895982029,-0.549843834853035
"X199",-0.529027198685561,0.0093460148087632,199,-0.519681183876798,-0.538373213494324
"X200",-0.685776670428567,0.00141728647188716,200,-0.68435938395668,-0.687193956900454
"X201",-0.663950213398819,0.00107496144756267,201,-0.662875251951257,-0.665025174846382
"X202",-0.731949809226576,0.00317690511583651,202,-0.728772904110739,-0.735126714342412
"X203",-0.642580941330408,0.00285585960310627,203,-0.639725081727302,-0.645436800933515
"X204",-0.59714681874735,0.00947035015459428,204,-0.587676468592755,-0.606617168901944
"X205",-0.722302802740774,0.00236456492568503,205,-0.719938237815089,-0.724667367666459
